ID,Country,Abbreviation,Gender,Pro Year,Handedness,Highest Singles Ranking,Highest Doubles Ranking,Weight,Height,Date of Birth,Highest Singles Ranking Date,Highest Doubles Ranking Date,Current Singles Rank,Rank Movement,Rank Points,Competitor ID,Rank Name,Rank Type,Race Ranking,Year,Surface Type,Competitions Played (Surface),Competitions Won (Surface),Matches Played (Surface),Matches Won (Surface),Competitions Played (Overall),Competitions Won (Overall),Matches Played (Overall),Matches Won (Overall),Competitor Last Name,Competitor First Initial
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2024,grass,2,0,6,5,8,2,34,29,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2024,red_clay,3,1,14,12,8,2,34,29,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2024,hardcourt_outdoor,3,1,14,12,8,2,34,29,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2023,hardcourt_indoor,2,0,5,2,18,6,77,65,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2023,hardcourt_outdoor,7,1,30,24,18,6,77,65,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2023,unknown,1,0,2,2,18,6,77,65,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2023,grass,2,2,12,12,18,6,77,65,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2023,red_clay,6,3,28,25,18,6,77,65,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2022,hardcourt_outdoor,7,2,26,20,19,5,70,56,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2022,hardcourt_indoor,3,0,7,5,19,5,70,56,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2022,unknown,1,0,3,2,19,5,70,56,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2022,red_clay,7,3,30,26,19,5,70,56,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2022,grass,1,0,4,3,19,5,70,56,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2021,hardcourt_indoor,4,1,13,10,22,3,65,47,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2021,hardcourt_outdoor,8,0,21,14,22,3,65,47,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2021,red_clay,9,2,29,22,22,3,65,47,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2021,grass,1,0,2,1,22,3,65,47,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2020,red_clay,8,2,29,23,12,5,46,39,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2020,hardcourt_outdoor,3,3,15,15,12,5,46,39,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2020,hardcourt_indoor,1,0,2,1,12,5,46,39,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2019,red_clay,8,0,17,9,13,1,33,21,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2019,hardcourt_outdoor,4,1,12,9,13,1,33,21,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2019,grass,1,0,4,3,13,1,33,21,"Alcaraz,",C
407573,Spain,ALC,male,2018,right,1,,74,183,2003-05-05,9.2022,,3,0,8130,407573,ATP,singles,False,2018,hardcourt_outdoor,2,0,8,6,2,0,8,6,"Alcaraz,",C
